"_id","airport","type","frequency"
"1","00CA","CTAF","122900"
"2","01FL","ARCAL","122900"
"3","01FL","CTAF","122800"
"4","04CA","CTAF","122900"
"5","04MS","UNICOM","122800"
"6","04NV","UNICOM","123000"
"7","05CL","CTAF","122900"
"8","05UT","UNICOM","122800"
"9","06FA","APP","124600"
"10","06FA","GROUND","121650"
"11","06FA","TOWER","120400"
"12","06MO","CTAF","122900"
"13","07FA","UNICOM","122700"
"14","07MT","ACC","126850"
"15","07TE","ACC","126625"
"16","08TE","UNICOM","122800"
"17","09CL","CTAF","122900"
"18","09FA","UNICOM","122800"
"19","09TS","ACC","132650"
"20","0AZ2","UNICOM","122950"
"21","0C2","CTAF","122900"
"22","0CA9","CTAF","122900"
"23","0ID2","ARTC","128350"
"24","0TE4","UNICOM","122800"
"25","0TE5","ACC","126625"
"26","0TE7","UNICOM","122800"
"27","0TX1","UNICOM","123050"
"28","11II","ACC","134850"
"29","11II","CTAF","126200"
"30","11II","MISC","38900"
"31","11II","MISC","138250"
"32","12NC","APP","119750"
"33","12OK","UNICOM","123000"
"34","13NC","APP","119350"
"35","13NC","CTAF","322100"
"36","14NC","A/D","119350"
"37","14TS","ACC","126625"
"38","15AR","UNICOM","122725"
"39","15FL","UNICOM","123000"
"40","16X","ACC","127450"
"41","18AZ","UNICOM","122975"
"42","18TA","ACC","126625"
"43","18TE","UNICOM","122800"
"44","1AZ0","UNICOM","122725"
"45","1CA1","CTAF","122900"
"46","1CD2","APP","119300"
"47","1GA0","UNICOM","122725"
"48","1L4","CTAF","122900"
"49","1MS8","APP","31480"
"50","1WA6","CTAF","122900"
"51","1XS8","ACC","126625"
"52","22XS","A/G","143350"
"53","22XS","ATIS","118800"
"54","22XS","INFO","30450"
"55","22XS","MISC","38750"
"56","22XS","OPS","38700"
"57","22XS","TOWER","120750"
"58","23XS","A/G","143350"
"59","23XS","ATIS","118800"
"60","23XS","INFO","30450"
"61","23XS","MISC","38750"
"62","23XS","OPS","38700"
"63","23XS","TOWER","120750"
"64","24CL","CTAF","122900"
"65","25TA","ACC","126625"
"66","25TS","ACC","132650"
"67","27AZ","CTAF","122900"
"68","28CL","CTAF","122800"
"69","28TA","ACC","126625"
"70","28TA","UNICOM","122800"
"71","29AZ","UNICOM","122800"
"72","29TX","ACC","127450"
"73","2CL9","CTAF","122900"
"74","2CN4","CTAF","122900"
"75","2D7","APP","125500"
"76","2D7","CTAF","122800"
"77","2IG4","UNICOM","122800"
"78","2OR1","UNICOM","122800"
"79","2TA6","ACC","127450"
"80","2TA8","ACC","126625"
"81","2TE8","ACC","126625"
"82","2TX3","ACC","126625"
"83","2TX4","ACC","126625"
"84","2VG2","UNICOM","122725"
"85","2XA0","ACC","127450"
"86","2XA0","CTAF","122900"
"87","2XS3","ACC","127450"
"88","2XS5","ACC","126625"
"89","31VA","UNICOM","122750"
"90","34AZ","UNICOM","122800"
"91","36CA","CTAF","122900"
"92","36CN","CTAF","122900"
"93","36WI","CTAF","122900"
"94","36WI","MISC","122600"
"95","38AZ","ASOW","119225"
"96","38AZ","CTAF","122800"
"97","38CA","UNICOM","122800"
"98","38XS","UNICOM","122800"
"99","3B3","CTAF","122900"
"100","3MO4","CTAF","122900"
"101","3OH0","UNICOM","122900"
"102","3TA0","ACC","126625"
"103","3TA5","ACC","126625"
"104","3TA6","ACC","126625"
"105","3TS1","ACC","126625"
"106","3XS8","ACC","126625"
"107","42KY","UNICOM","122800"
"108","46CN","UNICOM","123000"
"109","48Y","A/D","134750"
"110","48Y","UNICOM","122800"
"111","4AK6","CTAF","122900"
"112","4AZ7","FSS","122300"
"113","4AZ7","UNICOM","122800"
"114","4PA0","A/D","126450"
"115","4PA0","RADIO","114600"
"116","4PA0","UNICOM","123000"
"117","4TA0","FSS","122200"
"118","4TA6","ACC","126625"
"119","4TE0","ACC","127450"
"120","4TE0","UNICOM","122750"
"121","4TE9","ACC","126625"
"122","4TS8","ACC","126625"
"123","55XS","UNICOM","122700"
"124","57AZ","UNICOM","122900"
"125","57FA","UNICOM","122800"
"126","58CL","CTAF","122900"
"127","5CA7","CTAF","122900"
"128","5K2","UNICOM","122800"
"129","5KY4","CTAF","122900"
"130","5KY7","UNICOM","122800"
"131","5LS9","FSS","122200"
"132","5TE0","MISC","123300"
"133","5TS1","ACC","126625"
"134","60TA","UNICOM","122975"
"135","60TE","ACC","126625"
"136","60TE","UNICOM","122750"
"137","63XS","ACC","126625"
"138","67CA","CTAF","122900"
"139","68CA","CTAF","122900"
"140","68CL","CTAF","122900"
"141","68CL","UNICOM","123050"
"142","68TS","UNICOM","122700"
"143","69TX","ACC","126625"
"144","6F1","CTAF","122900"
"145","6NC1","UNICOM","122700"
"146","6TE6","ACC","127450"
"147","72CL","CTAF","122900"
"148","72MI","UNICOM","122750"
"149","72TA","ACC","126625"
"150","72TE","ACC","126625"
"151","74TE","ACC","127450"
"152","74TE","UNICOM","122725"
"153","75FL","UNICOM","122800"
"154","75TA","ACC","127450"
"155","75TX","ACC","126625"
"156","76TA","ACC","132650"
"157","77XS","ACC","126625"
"158","7B3","CTAF","122800"
"159","7CA2","CTAF","122950"
"160","7CO0","MISC","122900"
"161","7FL6","CLD","121725"
"162","7FL6","UNICOM","122975"
"163","7IN8","CTAF","122900"
"164","7PA3","INFO","129900"
"165","7S3","CTAF","123050"
"166","7TE1","ACC","126625"
"167","7TE2","ACC","126625"
"168","7TE6","ACC","126625"
"169","7TE7","ACC","126625"
"170","7TE7","UNICOM","122800"
"171","7TE8","ACC","127450"
"172","7TN5","UNICOM","122750"
"173","7TX0","ACC","127450"
"174","82IS","UNICOM","122900"
"175","83TX","ACC","126625"
"176","85TX","ACC","126625"
"177","87MO","CTAF","122900"
"178","89NY","UNICOM","122800"
"179","89TS","ACC","126625"
"180","8CA8","CTAF","122900"
"181","8TA0","ACC","126625"
"182","8TE6","ACC","132650"
"183","8TS9","ACC","126625"
"184","8XS8","ACC","127450"
"185","91TS","ACC","126625"
"186","91TX","ACC","126625"
"187","92CA","CTAF","122900"
"188","92XS","ACC","126625"
"189","94TX","ACC","127450"
"190","95TX","ACC","126625"
"191","97FL","CTAF","122900"
"192","99CL","CTAF","122900"
"193","9CA7","CTAF","122900"
"194","9CL2","CTAF","122900"
"195","9NC0","UNICOM","122800"
"196","9OI5","UNICOM","122800"
"197","9SD9","UNICOM","122800"
"198","9TA2","ACC","132650"
"199","9TE2","UNICOM","123070"
"200","9TS3","ACC","126625"
"201","9TS3","MISC","122700"
"202","9TX5","MISC","34200"
"203","AGGH","AFIS","118100"
"204","AGGH","INFO","342500"
"205","AGGM","AFIS","118100"
"206","AGGM","RADIO","118100"
"207","AMC","CTAF","122800"
"208","ANYN","A/G","118100"
"209","ANYN","INFO","126500"
"210","AR-0038","CTAF","123500"
"211","AR-0079","AFIS","123000"
"212","AR-0158","ACC","123500"
"213","AR-0305","CTAF","123500"
"214","AR-0462","A/G","118900"
"215","AU-0005","CTAF","126700"
"216","AU-0014","CTAF","127100"
"217","AU-0018","CTAF","126700"
"218","AU-0038","CTAF","127100"
"219","AU-0044","CTAF","126700"
"220","AU-0045","CTAF","119100"
"221","AU-0050","CTAF","126700"
"222","AU-0054","CTAF","126700"
"223","AU-0060","CTAF","118600"
"224","AU-0060","MISC","113700"
"225","AU-0060","MISC","119600"
"226","AU-0060","MISC","122100"
"227","AU-0220","CTAF","119000"
"228","AU-0220","MISC","126800"
"229","AU-0221","CTAF","119000"
"230","AU-0221","MISC","126800"
"231","AU-0225","CTAF","126700"
"232","AU-0251","CTAF","121000"
"233","AU-0428","CTAF","126700"
"234","AU-0428","MISC","119500"
"235","AU-0429","CTAF","127100"
"236","AU-0429","MISC","120200"
"237","AU-0429","MISC","135500"
"238","AU-0430","CTAF","120700"
"239","AU-0430","MISC","122400"
"240","AU-0430","MISC","122600"
"241","AYBK","RADIO","127100"
"242","AYDU","FSS","124900"
"243","AYGA","TOWER","118700"
"244","AYGN","FSS","124100"
"245","AYHK","FSS","127100"
"246","AYKM","FSS","120900"
"247","AYKV","FSS","127100"
"248","AYMD","ATIS","127800"
"249","AYMD","FSS","120100"
"250","AYMD","TOWER","118100"
"251","AYMH","ATIS","128400"
"252","AYMH","TOWER","120500"
"253","AYMO","ASOW","129350"
"254","AYMO","FSS","120100"
"255","AYNZ","APP","118600"
"256","AYNZ","ATIS","128600"
"257","AYNZ","RADIO","120700"
"258","AYNZ","TOWER","121700"
"259","AYPY","APP","125800"
"260","AYPY","ATIS","117000"
"261","AYPY","GROUND","121700"
"262","AYPY","TOWER","118100"
"263","AYTK","FSS","127100"
"264","AYTK","MISC","120900"
"265","AYTK","TOWER","118200"
"266","AYVN","FSS","126700"
"267","AYWK","ATIS","128199"
"268","AYWK","CTAF","121700"
"269","AYWK","FSS","126700"
"270","AZ82","ASOW","122900"
"271","AZ82","UNICOM","122900"
"272","BA-0001","INFO","123600"
"273","BGBW","AFIS","119100"
"274","BGCO","AFIS","118100"
"275","BGGH","AFIS","119100"
"276","BGQQ","AFIS","118100"
"277","BGSF","A/D","126200"
"278","BGSF","RADIO","121300"
"279","BGSF","TOWER","118300"
"280","BGSS","AFIS","118100"
"281","BGTL","A/G","836400"
"282","BGTL","APP","134100"
"283","BGTL","CLD","119900"
"284","BGTL","GROUND","119900"
"285","BGTL","OPS","131100"
"286","BGTL","TOWER","126200"
"287","BGUK","AFIS","118100"
"288","BIAR","ACC","119700"
"289","BIAR","RADAR","118700"
"290","BIAR","TOWER","118200"
"291","BIBD","ACC","119700"
"292","BIBD","AFIS","119100"
"293","BIEG","ACC","119700"
"294","BIEG","AFIS","119400"
"295","BIHN","ACC","119700"
"296","BIHN","AFIS","118100"
"297","BIHU","ACC","119700"
"298","BIHU","AFIS","118100"
"299","BIIS","ACC","119700"
"300","BIIS","AFIS","118800"
"301","BIKF","A/G","131900"
"302","BIKF","APP","119300"
"303","BIKF","ATIS","128300"
"304","BIKF","DEP","119300"
"305","BIKF","GROUND","121900"
