"_id","ident","type","name","frequency","lat","lon","alt","country","airport","level","power","dme_frequency","dme_channel","dme_lat","dme_lon","dme_alt","slaved_deg","magnetic_deg"
"1","1A","NDB","Williams Harbour","373","52.558898925781","-55.782199859619","70","CA","CCA6","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-23.072"
"2","1B","NDB","Sable Island","277","43.930599212646","-60.022899627686","10","CA",NULL,"LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-19.1"
"3","1CD","DME","Nanaimo","111450","49.057201385498","-123.87200164795","83","CA","CYCD","LO","LOW","111450","051Y",NULL,NULL,NULL,NULL,"18.282"
"4","1D","NDB","Charlottetown","346","52.775001525879","-56.124000549316","209","CA","CCH4","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"-23.163"
"5","1E","NDB","Black Tickle","349","53.466701507568","-55.787399291992","79","CA","CCE4","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"-23.398"
"6","1F","NDB","Manta","363","47.630599975586","-65.744697570801","193","CA","CZBF","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-19.367"
"7","1K","NDB","Zama Lake","227","59.023300170898","-118.84300231934","1165","CA","CFT9","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"21.275"
"8","1S","NDB","North Of Sixty","350","60.318901062012","-103.12899780273","1221","CA","CKV4","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"9.589"
"9","1T","DME","Lloydminster","110700","53.313301086426","-110.08000183105","2210","CA","CYLL","BOTH","LOW","110700","044X",NULL,NULL,NULL,NULL,"14.486"
"10","1U","NDB","Masset","278","54.031700134277","-132.12699890137","25","CA","CZMT","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"21.073"
"11","1W","NDB","Sandy Bay","412","55.543300628662","-102.27600097656","1000","CA","CJY4","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"8.555"
"12","2A","NDB","South Indian Lake","300","56.793899536133","-98.904296875","974","CA","CZSN","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"5.097"
"13","2B","NDB","Springdale","364","49.490001678467","-56.184700012207","250","CA","CCD2","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-21.312"
"14","2F","DME","Bathurst","114400","47.631401062012","-65.744400024414","191","CA","CZBF","BOTH","LOW","114400","091X",NULL,NULL,NULL,NULL,"-19.367"
"15","2H","NDB","Lebel-sur-Quevillon","261","49.0372009277","-77.0207977295","978","CA","CSH4","BOTH","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"-14.363"
"16","2J","NDB-DME","Grand Forks","250","49.017501831055","-118.42400360107","1720","CA","CZGF","LO","LOW","109700","034X",NULL,NULL,NULL,NULL,"17.114"
"17","2K","NDB","Camrose","405","53.032199859619","-112.81300354004","2426","CA","CEQ3","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"16.163"
"18","2K","DME","Camrose","108200","53.03279876709","-112.81400299072","2449","CA","CEQ3","LO","LOW","108200","019X",NULL,NULL,NULL,NULL,"16.163"
"19","2M","NDB","Opapimiskan Lake","393","52.603099822998","-90.374397277832","934","CA","CKM8","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-3.318"
"20","2Q","NDB","Mont-Laurier","373","46.602500915527","-75.470596313477","755","CA","CSD4","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"-14.31"
"21","2S","NDB-DME","High Prairie","406","55.395599365234","-116.48400115967","2005","CA","CZHP","BOTH","LOW","110200","039X","55.3958","-116.482","2005",NULL,"18.511"
"22","2T","NDB","Pokemouche","329","47.715000152588","-64.885803222656","68","CA","CDA4","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-19.527"
"23","2U","NDB-DME","Mackenzie Bc","284","55.303600311279","-123.1370010376","2303","CA","CYZY","LO","LOW","108900","026X",NULL,NULL,NULL,NULL,"20.519"
"24","2Z","NDB","Diavik","382","64.51000213623","-110.30699920654","1369","CA","CDK2","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"18.473"
"25","2Z","DME","Diavik","111250","64.50830078125","-110.30699920654","1413","CA","CDK2","LO","LOW","111250","049Y",NULL,NULL,NULL,NULL,"18.471"
"26","3D","NDB","Cumberland House","398","53.95719909668","-102.29699707031","877","CA","CJT4","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"8.534"
"27","3F","NDB","Ile-A-La-Crosse","384","55.483898162842","-107.93099975586","1394","CA","CJF3","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"13.529"
"28","3H","NDB","Consort","276","52.022800445557","-110.74600219727","2499","CA","CFG3","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"14.515"
"29","3I","NDB","Mobil Sierra","397","58.798301696777","-121.3450012207","1818","CA",NULL,"LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"22.088"
"30","3M","NDB-DME","Drayton Valley Industrial","385","53.266399383545","-114.95500183105","2785","CA","CER3","LO","LOW","110600","043X","53.2681","-114.957","2785",NULL,"17.225"
"31","3N","NDB","Weyburn","298","49.696399688721","-103.80400085449","1963","CA","CJE3","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"9.496"
"32","3P","NDB","Muddy Lake","242","58.23690032959","-132.19599914551","2832","CA",NULL,"LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"23.014"
"33","3R","NDB","Postville","366","54.907501220703","-59.796901702881","193","CA","CCD4","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"-24.449"
"34","3X","NDB","Cluff Lake","243","58.360298156738","-109.52500152588","1070","CA","CJS3","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"15.534"
"35","3Y","NDB-DME","Donnelly","234","55.710601806641","-117.09999847412","1949","CA","CFM4","LO","LOW","108200","019X",NULL,NULL,NULL,NULL,"19.141"
"36","3Z","NDB","Russell","263","50.764198303223","-101.29599761963","1825","CA","CJW5","LO","LOW",NULL,NULL,NULL,NULL,NULL,NULL,"7.542"
"37","3Z","NDB-DME","Taber","388","49.825801849365","-112.17800140381","2648","CA","CED5","LO","LOW","111000","047X",NULL,NULL,NULL,NULL,"15.013"
"38","4A","NDB-DME","Koala","350","64.698097229004","-110.60900115967","1540","CA","CYOA","TERMINAL","MEDIUM","111800","055X",NULL,NULL,NULL,NULL,"19.093"
"39","4B","NDB","Little Grand Rapids","280","52.044200897217","-95.461898803711","1005","CA","CZGR","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"2.118"
"40","4D","NDB","Helmet","364","59.421398162842","-120.78900146484","2025","CA","CBH2","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"22.188"
"41","4G","NDB","Cross Lake","353","54.610801696777","-97.766403198242","709","CA","CYCR","LO","MEDIUM",NULL,NULL,NULL,NULL,NULL,NULL,"4.14"
